time,ppg0,ppg1,ppg2,ambient0
40.9755936775,295439,284576,237779,-173179
40.993661905,295716,284951,237939,-173228
41.011730132500006,296040,285255,238145,-173205
41.02979836,296362,285531,238351,-173104
41.0478665875,296736,285808,238567,-173132
41.065934815000006,296938,286054,238792,-173170
41.0840030425,297231,286315,238935,-173126
41.10207127,297298,286297,239028,-173136
41.120139497500006,297078,286134,238932,-173146
41.138207725,297346,286520,238916,-173246
41.1562759525,297081,286547,238724,-173126
41.174344180000006,297557,286463,238732,-173398
41.1924124075,297714,286325,238697,-173399
41.210480635,298092,285820,238262,-173663
41.228548862500006,298094,285675,238566,-173316
41.24661709,298108,285994,238274,-173461
41.2646853175,297706,286085,238418,-173915
41.282753545000006,297673,285972,238386,-174152
41.3008217725,297463,285903,238368,-174153
41.31889,297299,286102,238751,-174541
41.31889,293023,281584,235390,-173134
41.336891337500006,292983,281452,235299,-173140
41.354892675,293007,281482,235260,-173128
41.372894012500005,293004,281487,235352,-173170
41.39089535,293080,281585,235278,-173176
41.408896687500004,293181,281593,235311,-173189
41.426898025,293180,281546,235311,-173223
41.4448993625,293071,281535,235277,-173232
41.462900700000006,293087,281437,235291,-173170
41.4809020375,292977,281245,235074,-173180
41.498903375000005,292855,281131,234997,-173123
41.5169047125,292739,281135,234911,-173127
41.534906050000004,292802,281128,234894,-173137
41.5529073875,292916,281280,234911,-173095
41.570908725,293122,281562,235010,-173185
41.588910062500005,293450,281873,235240,-173155
41.6069114,293762,282304,235397,-173105
41.624912737500004,294017,282672,235595,-173132
41.642914075,294219,282887,235642,-173210
41.6609154125,294474,283187,235828,-173174
41.67891675,294589,283356,235997,-173188
41.6969180875,294767,283471,236063,-173111
41.714919425000005,294997,283704,236299,-173056
41.7329207625,295045,283824,236349,-173142
41.750922100000004,295310,283984,236508,-173122
41.7689234375,295511,284208,236606,-173125
41.786924775,295576,284320,236784,-173142
41.804926112500006,295634,284339,236793,-173120
41.82292745,295749,284489,236884,-173177
41.840928787500005,295956,284766,237021,-173199
41.858930125,296128,285052,237153,-173190
41.8769314625,296233,285238,237195,-173215
41.8949328,296192,285172,237109,-173133
41.9129341375,295909,284953,236865,-173187
41.930935475000005,295612,284734,236685,-173170
41.9489368125,295167,284354,236317,-173150
41.966938150000004,294740,284012,236059,-173150
41.9849394875,294251,283566,235759,-173218
42.002940825,293869,283231,235509,-173116
42.0209421625,293450,282841,235331,-173143
42.0389435,293176,282531,235104,-173141
42.0389435,292872,282159,234821,-173070
42.0569404225,292711,282074,234707,-173182
42.074937345,292780,282039,234802,-173143
42.0929342675,292849,282147,234822,-173166
42.11093119,292849,282227,234908,-173159
42.1289281125,292838,282228,234904,-173144
42.146925035,292797,282197,234946,-173132
42.1649219575,292646,282024,234758,-173194
42.18291888,292562,281928,234748,-173178
42.2009158025,292356,281702,234619,-173136
42.218912725,292138,281483,234486,-173182
42.2369096475,292024,281300,234448,-173182
42.25490657,291935,281155,234365,-173160
42.2729034925,291891,281007,234345,-173161
42.290900415,291844,280937,234313,-173158
42.3088973375,291770,280894,234218,-173197
42.32689426,291868,280891,234300,-173214
42.3448911825,291953,280936,234399,-173195
42.362888105,291953,280935,234376,-173233
42.3808850275,291453,280683,234126,-173240
42.39888195,291461,280935,233838,-172856
42.4168788725,291211,280946,233855,-172488
42.434875794999996,291611,281267,233858,-172482
42.4528727175,291733,281483,233634,-172610
42.47086964,291473,281528,233661,-172670
42.4888665625,291408,281144,233408,-172664
42.506863485,291420,281100,233679,-172345
42.5248604075,291413,281068,233648,-172722
42.54285733,291860,281514,233638,-172730
42.5608542525,291644,281857,233316,-172543
42.578851175,291389,281729,233762,-172656
42.5968480975,291402,282177,233465,-172840
42.61484502,291846,282032,233032,-173043
42.6328419425,292055,281896,233109,-173471
42.650838865,291748,282206,233586,-173470
42.6688357875,292167,281801,233839,-173095
42.68683271,292425,281633,234239,-173072
42.7048296325,292391,281311,234460,-173208
42.722826555,291954,281238,234411,-172896
42.7408234775,292176,281132,234400,-172517
42.7588204,292366,281574,234890,-172505
42.7588204,286672,274894,229153,-173165
42.785181535294114,286386,274570,228884,-173208
42.81154267058823,286089,274267,228671,-173179
42.83790380588235,285699,273890,228405,-173174
42.864264941176465,285247,273475,228118,-173179
42.89062607647059,284749,273023,227775,-173139
42.916987211764706,284161,272394,227325,-173172
42.94334834705882,283633,271900,226986,-173178
42.96970948235294,282970,271277,226573,-173238
42.99607061764706,282531,270807,226244,-173166
43.02243175294117,282175,270416,225853,-173225
43.04879288823529,281712,270086,225542,-173212
43.07515402352941,280186,268310,224460,-173512
43.10151515882353,280190,269821,225416,-173557
43.12787629411765,278892,271294,223544,-173813
43.154237429411765,278314,273204,223803,-174467
43.18059856470588,279606,273103,222541,-175791
43.2069597,280493,273103,221844,-173881
43.233320835294116,280752,271877,222529,-173870
43.25968197058823,281534,271810,220538,-171982
43.28604310588235,280977,270587,219749,-171758
43.312404241176466,280786,270425,219543,-171778
43.33876537647059,280540,270263,219347,-171715
43.36512651176471,280179,269873,219057,-171715
43.391487647058824,279624,269369,218578,-171681
43.41784878235294,278843,268652,217990,-171660
43.44420991764706,278035,267682,217262,-171694
43.470571052941175,277132,266737,216487,-171694
43.49693218823529,276291,265933,215693,-171680
43.52329332352941,275387,265076,214929,-171736
43.54965445882353,274643,264301,214212,-171741
43.57601559411765,273942,263584,213416,-171795
43.602376729411766,273379,262993,212758,-171782
43.62873786470588,272880,262441,212201,-171714
43.655099,272445,261938,211713,-171751
43.655099,270195,259137,215317,-173163
43.66944623,270004,258780,215007,-173149
43.68379346,269744,258537,214642,-173197
43.69814069,269604,258348,214433,-173199
43.71248792,269305,257964,214045,-173180
43.72683515,269079,257750,213813,-173147
43.74118238,268813,257502,213489,-173136
43.75552961,268508,257276,213240,-173138
43.76987684,268175,257009,212902,-173181
43.78422407,267975,256841,212668,-173164
43.7985713,267816,256639,212464,-173128
43.81291853,267636,256507,212204,-173099
43.82726576,267540,256351,212054,-173143
43.84161299,267445,256257,211931,-173196
43.85596022,267393,256249,211790,-173144
43.87030745,267417,256201,211655,-173130
43.884654680000004,267373,256379,211613,-173176
43.89900191,267391,256490,211633,-173208
43.91334914,267465,256689,211636,-173204
43.92769637,267587,256873,211745,-173141
43.942043600000005,267678,256984,211823,-173184
43.956390830000004,267776,257136,211869,-173183
43.97073806,267856,257317,211919,-173187
43.98508529,267842,257396,211971,-173228
43.99943252,267804,257340,211801,-173146
44.013779750000005,267511,257187,211660,-173123
44.02812698,267011,256805,211626,-173229
44.04247421,266635,256568,211961,-173303
44.05682144,266601,256454,211999,-173179
44.071168670000006,266166,256507,211704,-173186
44.085515900000004,266303,256610,211829,-173644
44.09986313,266048,256411,212157,-174061
44.11421036,266061,256603,212365,-174208
44.12855759,266507,256470,211980,-173771
44.142904820000005,266727,256333,211970,-174240
44.157252050000004,266388,256133,211685,-174236
44.17159928,265907,256564,211235,-173860
44.18594651,265650,256453,210869,-174013
44.200293740000006,266112,256069,210917,-174389
44.214640970000005,265934,255671,210795,-174422
44.2289882,266336,255862,210794,-174403
44.2289882,259945,250965,205669,-173165
44.2490913625,259710,250945,205569,-173185
44.269194525,259637,250888,205503,-173173
44.2892976875,259480,250740,205395,-173173
44.30940085,259340,250695,205281,-173146
44.3295040125,259235,250526,205117,-173163
44.349607175,259067,250402,205005,-173160
44.3697103375,258971,250306,204862,-173219
44.3898135,258910,250266,204724,-173159
44.4099166625,258773,250202,204705,-173048
44.430019825,258744,250151,204568,-173119
44.4501229875,258686,250201,204499,-173167
44.47022615,258694,250301,204508,-173172
44.4903293125,258691,250280,204455,-173196
44.510432475,258699,250361,204509,-173191
44.5305356375,258718,250416,204459,-173154
44.5506388,258784,250491,204442,-173161
44.5707419625,258796,250048,203931,-173132
44.590845125,258818,250268,204379,-173451
44.6109482875,258567,250273,204345,-173204
44.63105145,258487,250210,204347,-173209
44.6511546125,258606,249866,204555,-173017
44.671257775,258606,249890,204706,-172749
44.6913609375,258958,249953,204718,-172701
44.7114641,259064,250177,204494,-173151
44.7315672625,259316,250140,204506,-173035
44.751670425,259059,250265,205008,-173026
44.7717735875,258592,250560,205278,-173160
44.79187675,258589,250391,205732,-172981
44.8119799125,258331,250774,205687,-173160
44.832083075,258781,250605,205270,-172788
44.8521862375,259254,250451,205311,-172800
44.8722894,258914,250311,205012,-172807
44.8923925625,259322,250790,204945,-173263
44.912495725,259326,250618,205313,-173392
44.9325988875,259259,250360,205021,-173517
44.95270205,258751,250307,205084,-173972
44.9728052125,258466,250211,205154,-173616
44.992908375,258624,249950,205132,-173615
45.0130115375,258260,249781,204794,-174069
45.0331147,257750,249722,204515,-173846
45.0331147,252158,244774,198763,-173149
45.040758724999996,252019,244639,198620,-173069
45.04840275,251964,244578,198557,-173165
45.056046775,251931,244599,198430,-173162
45.063690799999996,251900,244689,198335,-173173
45.071334825,251923,244627,198326,-173218
45.07897885,251888,244580,198260,-173202
45.086622874999996,251888,244596,198193,-173179
45.0942669,251907,244660,198150,-173160
45.101910925,251919,244746,198177,-173211
45.10955495,251989,244792,198200,-173240
45.117198975,252042,244908,198209,-173209
45.124843,252099,245037,198238,-173189
45.132487025,252257,245237,198324,-173157
45.14013105,252343,245439,198395,-173206
45.147775075,252420,245591,198440,-173189
45.1554191,252621,245746,198586,-173202
45.163063125,252838,245968,198748,-173128
45.17070715,252991,246229,198822,-173225
45.178351175,253259,246448,199034,-173171
45.1859952,253441,246729,199193,-173144
45.193639225,253662,246934,199284,-173132
45.20128325,253891,247227,199430,-173142
45.208927275,254183,247494,199657,-173182
45.2165713,254450,247805,199827,-173198
45.224215325,254713,248031,199992,-173181
45.23185935,254907,248315,200172,-173146
45.239503375,255074,248479,200242,-173138
45.2471474,254914,248400,200114,-173142
45.254791425,254610,248098,199949,-173112
45.26243545,254878,247780,200439,-173219
45.270079475,254478,247659,200406,-173228
45.2777235,254960,247558,200424,-173008
45.285367525000005,255182,247677,200145,-173029
45.29301155,255681,247824,200271,-172651
45.300655575,255171,247734,199808,-172936
45.308299600000005,255521,247990,199531,-173039
45.315943625,255135,247901,199834,-172723
45.32358765,255377,247848,199805,-172836
45.331231675000005,255151,248163,199536,-172815
45.3388757,254988,248502,199823,-172306
45.3388757,251272,244539,196949,-173159
45.36648413,251232,244547,196907,-173174
45.394092560000004,251284,244554,196876,-173177
45.421700990000005,251386,244640,196867,-173204
45.449309420000006,251334,244688,196844,-173229
45.47691785,251495,244804,196989,-173205
45.50452628,251549,244863,197047,-173163
45.53213471,251664,245020,197018,-173162
45.55974314,251686,245103,197092,-173205
45.58735157,251685,245090,197098,-173207
45.61496,251743,245229,197131,-173187
45.642568430000004,251884,245359,197193,-173173
45.67017686,252052,245581,197262,-173167
45.69778529,252141,245712,197320,-173141
45.72539372,252382,245939,197516,-173162
45.75300215,252499,246230,197648,-173146
45.78061058,252683,246497,197771,-173140
45.80821901,252870,246749,197894,-173183
45.83582744,253193,247016,198023,-173207
45.86343587,253451,247348,198183,-173216
45.891044300000004,253750,247623,198357,-173223
45.91865273,254016,247999,198552,-173179
45.94626116,254290,248312,198818,-173148
45.97386959,254629,248687,199012,-173137
46.00147802,254974,248968,199293,-173157
46.02908645,255336,249303,199530,-173153
46.05669488,255626,249676,199845,-173153
46.08430331,255939,250103,199979,-173180
46.11191174,256291,250450,200247,-173150
46.13952017,256597,250735,200519,-173209
46.1671286,256650,250857,200589,-173225
46.19473703,256664,250824,200594,-173198
46.22234546,256439,250653,200435,-173233
46.24995389,256201,250457,200427,-173171
46.27756232,255853,250221,200228,-173209
46.30517075,255498,250027,200151,-173182
46.33277918,255055,249897,199985,-173176
46.36038761,254817,249876,200014,-173185
46.38799604,254538,249863,199990,-173183
46.41560447,254430,249999,200041,-173185
46.4432129,254353,250223,200181,-173196
46.4432129,254277,250436,200444,-173158
46.453710690625,254239,250742,200614,-173218
46.46420848125,254327,251117,200846,-173199
46.474706271875,254645,251424,201064,-173167
46.4852040625,254921,251918,201300,-173215
46.495701853125,255231,252292,201585,-173190
46.50619964375,255574,252723,201879,-173238
46.516697434375,256007,253084,202071,-173156
46.527195225,256463,253371,202142,-173178
46.537693015625,257013,253774,202256,-173174
46.54819080625,257337,254004,202285,-173149
46.558688596875,257649,254259,202381,-173192
46.5691863875,258017,254544,202520,-173172
46.579684178125,258367,254794,202671,-173175
46.59018196875,258677,255019,202739,-173217
46.600679759375,259080,255384,202993,-173168
46.61117755,259457,255641,203202,-173115
46.621675340625,259891,255995,203479,-173175
46.63217313125,260229,256385,203686,-173133
46.642670921875,260578,256673,203875,-173181
46.653168712500005,260844,257698,205272,-175037
46.663666503125,262885,256632,204732,-175129
46.67416429375,263289,256987,206730,-176489
46.684662084375,264738,256253,207508,-178260
46.695159875,264423,256153,205831,-177151
46.705657665625004,264629,254105,207292,-178898
46.71615545625,264633,255734,208018,-178749
46.726653246875,266015,256328,206236,-177151
46.7371510375,267668,255634,207519,-175972
46.747648828125,267833,255451,208816,-175382
46.758146618750004,265993,254411,209116,-177260
46.768644409375,267275,252561,210924,-177076
46.7791422,268385,251282,210222,-177333
46.7791422,265494,261016,207386,-173153
46.7993188275,265614,261069,207521,-173178
46.819495455,265800,261240,207627,-173109
46.8396720825,265921,261347,207738,-173163
46.85984871,266213,261521,207936,-173192
46.8800253375,266413,261856,208085,-173202
46.900201965,266695,262104,208299,-173158
46.9203785925,267040,262312,208510,-173157
46.94055522,267310,262667,208711,-173168
46.9607318475,267597,262963,208992,-173188
46.980908475,267896,263271,209348,-173145
47.0010851025,268121,263499,209614,-173154
47.02126173,268420,263776,209831,-173167
47.0414383575,268176,263589,209595,-173069
47.061614985,268374,263593,209083,-172681
47.0817916125,268649,263662,209067,-172658
47.10196824,268970,264052,208830,-172655
47.1221448675,269284,263924,208959,-172587
47.142321495,269030,263989,209439,-172303
47.1624981225,269383,263605,209715,-172190
47.182674750000004,269667,263629,209459,-171994
47.202851377500004,269693,263687,209416,-171667
47.223028005,269790,264143,208934,-171662
47.2432046325,270060,264455,209432,-171913
47.26338126,270312,264537,209008,-171441
47.2835578875,270617,264281,209285,-171321
47.303734515,270929,264341,209589,-171251
47.3239111425,271219,264449,209561,-171048
47.34408777,271316,264523,209584,-171049
47.3642643975,271653,264619,209170,-170851
47.384441025,271400,264716,208753,-170467
47.4046176525,270905,264715,208260,-170314
47.42479428,271329,264879,207764,-170117
47.4449709075,271112,265003,207730,-170482
47.465147535,271097,264755,208019,-170475
47.4853241625,271473,264879,208021,-170533
47.50550079,271471,264980,207618,-170325
47.5256774175,271265,264852,207889,-170198
47.545854045,271660,264380,207968,-170577
47.5660306725,271947,264489,207995,-170641
47.5862073,271883,264302,208018,-170630
47.5862073,276270,276076,218870,-173046
47.60277514,276519,276443,219179,-173137
47.61934298,276731,276797,219536,-173153
47.63591082,276920,277156,219864,-173204
47.65247866,277180,277575,220261,-173117
47.6690465,277566,277968,220569,-173147
47.68561434,277834,278388,220960,-173181
47.70218218,278121,278763,221356,-173145
47.71875002,278484,279244,221807,-173132
47.73531786,278746,279657,222172,-173103
47.7518857,279096,280002,222531,-173121
47.768453539999996,279483,280362,222841,-173182
47.785021379999996,279862,280622,223096,-173149
47.80158922,280128,280872,223376,-173180
47.81815706,280458,281147,223633,-173211
47.8347249,280715,281420,223869,-173228
47.85129274,281053,281672,224209,-173199
47.86786058,281352,281891,224423,-173207
47.88442842,281628,282227,224679,-173168
47.90099626,281976,282477,224919,-173171
47.9175641,282261,282770,225167,-173143
47.93413194,282624,283011,225415,-173172
